gelijkbetekenend	synoniem
belangrijk	cruciaal
goed	bezitting
ook	tevens
leuk	vermakelijk
echter	daarentegen
interessant	belangwekkend
mooi	fraai
maar	slechts
duidelijk	helder
probleem	complicatie
gebruiken	consumeren
veel	aanzienlijk
bovendien	verder
enthousiast	fanatiek
snel	gauw
groot	intens
vervolgens	daarna
mogelijkheid	keuze
moeilijk	ingewikkeld
ontwikkelen	maken
aspect	onderdeel
ervaring	ondervinding
vaak	frequent
adequaat	juist
zeldzaam	bijzonder
onaangenaam	akelig
ongevoelig	koud
overleden	gestorven
hal	gang
afstand	ruimte
traject	route
drukken	duwen
fouilleren	doorzoeken
historie	geschiedenis
reclame	promotie
opknappen	herstellen
verkrijgen	bemachtigen
gasstel	fornuis
schuin	dwars
surprise	verrassing
misleiden	bedriegen
zorgelijk	verontrustend
pantser	harnas
uitgeven	besteden
divers	verschillend
vreselijk	afschuwelijk
compact	dicht
rest	overblijfsel
