forehead	brow
believable	plausible
ignore	disregard
equity	fairness
unstated	unspoken
cheesy	corny
numerous	many
put back	postpone
pressing	urgent
foretell	predict
gut	intestine
testament	testimony
near	approach
liveable	habitable
soiled	dirty
a narrative	a story
exactly	precisely
enquire	investigate
constitution	structure
dossier	file
vary	differ
matters	things
self-assured	confident
constant	fixed
withstand	resist
business	commerce
stable	steady
maybe	perhaps
noon	midday
provided	if
isolated	lonely
clerk	receptionist
home	domestic
quake	tremble
particular	specific
moderately	reasonably
inconsiderate	thoughtless
glitter	sparkle
explode	blow up
homicide	murder
begin	start
possibility	opportunity
murderer	assassin
differentiate	distinguish
hurry	rush
lousy	awful
off-season	low season
madness	insanity
vanquish	conquer
constancy	fidelity
intend	mean
fortunate	lucky
mimic	imitate
daybreak	dawn
illiberal	intolerant
detached	indifferent
mendacity	lying
second	moment
uncared for	neglected
mind	intellect
reliable	dependable
happily	fortunately
select	choose
butt	bottom
terror	terrorism
hunger	starvation
invoice	bill
middleman	intermediary
infect	contaminate
mo 	moment
disclose	reveal
usually	normally
man made	artificial
deserted	abandoned
scarcity	shortage
uninjured	unhurt
non-stop	continuous
unforeseen	unexpected
modern	contemporary
bloodbath	massacre
sunrise	dawn
essential	fundamental
visualize	imagine
leading	main
delicate	fragile
insolvent	bankrupt
silly	foolish
more and more	increasingly
overhaul	overtake
knowingly	deliberately
if	whether
magician	conjuror
impeach	question
grouse	grumble
confederate	accomplice
class	lesson
temper	mood
economic	profitable
peaceable	peaceful
immediate	instant
crusade	campaign
nugatory	worthless
outside	external
innocent	harmless
immoderate	excessive
chop	cut
mindless	senseless
lacking	missing
imperative	vital
a native	a local
nameless	anonymous
pattern	sample
stupid	silly
expire	run out
formerly	previously
citation	quotation
domesticate	cultivate
vain	useless
undeniable	indisputable
miserable	depressing
behave	act
assure	guarantee
sacristy	vestry
symbolize	represent
insufficient	inadequate
informal	casual
twister	tornado
interplay	interaction
previous	preceding
lethal	deadly
garbage can	trash can 
chorus	refrain
fanatic	enthusiast
imagine	assume
hand out	distribute
virtue	advantage
infamous	notorious
vacuum	hoover
remark	comment
operate	function
transitory	temporary
unlawful	illegal
deprave	corrupt
hole	gap
touchdown	landing
mannequin	model
noted	famous
well mannered	polite
zenith	peak
fantastic	great
obligatory	compulsory
answer	reply
convey	communicate
imitate	mimic
involve	entail
idler	loafer
