heureux	content
environ	approximativement
important	décisif
également	pareil
beau	magnifique
rapide	vite
difficile	compliqué
aspect	allure
rare	exceptionnel
section	case
itinéraire	chemin
vieux	ancien
nouveau	récent
toilettes	cabinets
vélo	bicyclette
maman	mère
entrer	pénétrer
changer	muer
pile	batterie
argent	monnaie
voiture	automobile
écharpe	châle
photo	cliché
cahier	carnet
habit	vêtement
livre	bouquin
héler	appeler
gâteau	pâtisserie
gentil	aimable
tissu	étoffe
bougie	chandelle
divertir	amuser
synonyme	équivalent
danse	chorégraphie
